Country,EdLevel,YearsCodePro,Salary
10,2,12.0,114649.0
9,0,10.0,39494.0
9,2,2.0,11848.0
3,2,7.0,85925.0
9,2,8.0,80000.0
3,1,12.0,54777.0
9,2,15.0,38666.0
6,2,5.0,85925.0
4,2,7.0,75184.0
10,0,16.0,67516.0
6,1,3.0,22555.0
3,3,8.0,48333.0
3,3,23.0,44434.0
6,1,5.0,32222.0
3,2,2.0,30933.0
11,0,4.0,90000.0
4,2,5.0,64444.0
4,0,3.0,54777.0
11,1,31.0,101000.0
9,2,4.0,42000.0
10,0,18.0,169426.0
4,3,6.0,75184.0
10,0,24.0,47134.0
10,0,7.0,66242.0
10,0,24.0,85350.0
4,2,4.0,64444.0
5,0,11.0,38762.0
6,0,13.0,59073.0
10,1,40.0,127388.0
10,0,7.0,99363.0
5,0,5.0,14356.0
5,0,12.0,23927.0
3,2,3.0,62296.0
4,0,2.0,85925.0
4,2,8.0,86355.0
0,3,25.0,95796.0
10,2,6.0,68789.0
6,1,17.0,56925.0
9,2,8.0,32000.0
4,0,3.0,56925.0
10,2,8.0,56051.0
10,2,7.0,114649.0
4,2,7.0,59073.0
10,2,13.0,107006.0
4,2,3.0,63370.0
4,0,3.0,59073.0
4,2,1.0,59073.0
8,2,20.0,59073.0
4,0,5.0,83777.0
10,1,25.0,29299.0
5,2,7.0,39479.0
7,0,9.0,45111.0
4,0,20.0,83777.0
9,2,15.0,68278.0
7,1,4.0,32222.0
7,0,15.0,161109.0
10,1,8.0,62981.0
10,1,10.0,140127.0
6,0,12.0,29000.0
3,2,10.0,48333.0
7,0,3.0,59073.0
3,2,3.0,48333.0
4,2,6.0,77332.0
9,2,3.0,67387.0
10,2,5.0,50955.0
7,2,1.0,48333.0
4,0,17.0,128887.0
10,2,13.0,114649.0
7,0,24.0,64444.0
8,3,22.0,42962.0
3,2,15.0,44037.0
0,0,3.0,79119.0
6,3,4.0,38666.0
5,2,14.0,57425.0
10,3,11.0,107006.0
5,0,9.0,57461.0
4,1,8.0,80555.0
11,0,6.0,160000.0
10,0,18.0,121018.0
4,2,20.0,128887.0
3,2,6.0,73036.0
3,2,10.0,68740.0
5,0,1.0,35890.0
9,2,3.0,40951.0
4,3,11.0,64444.0
8,1,7.0,34370.0
6,2,4.0,32222.0
10,0,6.0,114649.0
9,2,4.0,118483.0
3,3,2.0,32222.0
9,2,14.0,105000.0
3,2,12.0,62296.0
10,0,3.0,37898.0
10,1,35.0,114649.0
6,0,6.0,45111.0
3,3,23.0,98814.0
7,0,10.0,137480.0
9,0,4.0,33000.0
11,0,0.5,96000.0
4,3,11.0,85925.0
3,2,12.0,91295.0
10,0,24.0,70063.0
3,0,15.0,161109.0
4,2,7.0,63302.0
10,2,13.0,81528.0
7,2,7.0,139628.0
4,2,3.0,75184.0
10,0,1.0,38216.0
10,0,6.0,59235.0
9,2,7.0,41888.0
6,3,19.0,38666.0
10,0,12.0,119745.0
1,0,16.0,24616.0
5,0,10.0,113653.0
5,0,1.0,11963.0
6,0,5.0,35444.0
7,2,12.0,73036.0
10,0,20.0,110827.0
8,0,23.0,139628.0
3,2,2.0,38666.0
9,2,9.0,32400.0
5,0,7.0,29909.0
4,2,7.0,57999.0
7,0,8.0,80555.0
3,0,15.0,64444.0
10,3,5.0,105732.0
8,0,11.0,39740.0
5,2,9.0,37087.0
10,0,12.0,82802.0
7,0,7.0,55851.0
9,1,11.0,59241.0
4,1,26.0,75184.0
4,0,3.0,45111.0
10,0,31.0,117197.0
10,0,15.0,63694.0
11,2,11.0,85000.0
5,2,10.0,28712.0
5,0,13.0,83744.0
4,3,2.0,61222.0
10,2,15.0,114267.0
1,0,3.0,11189.0
4,0,11.0,71962.0
4,0,7.0,98814.0
10,0,9.0,95541.0
4,2,8.0,96666.0
9,2,3.0,24000.0
4,3,8.0,69814.0
9,2,3.0,30000.0
3,2,0.5,38666.0
9,0,5.0,59241.0
8,1,10.0,89362.0
3,3,32.0,76328.0
